"IdTipo","codigo","descricao","periodicidade","codigo_camara","assunto_padrao","titulo_padrao_detalhe_pauta","Natureza","Processo_Administrativo","Tipo_Complemento_Processo","ProcessoEletronico","ProcessoEletronicoTce","ativo","EnviadopelaInternet","Complexidade","idClassificacaoProcesso","RespostaComunicacao","PodeSolicitarAutuacao","PrioridadeOrdemProcessoSetor"
117,MOP,MONITORAMENTO NAT OPERACIONAL                     ,,,MONITORAMENTO DE NATUREZA OPERACIONAL DE [...],,,,2,,,0,,B,34,,,3
126,NCE,NOMEAÇÃO PARA CARGO EFETIVO                       ,,,APRECIAÇÃO DA NOMEAÇÃO PARA CARGO EFETIVO DO(A) SENHOR(A) (...).,,P,,2,S,S,1,,B,4,N,,3
45,NOM,NOMEAÇÃO                                          , ,"3",NOMEAÇÃO ,,,,3,S,S,0,,B,,,,3
121,NOT,NOTA FISCAL                                       , , ,REFERENTE A NOTA FISCAL DE Nº ...,,D,,2,S,S,1,1,B,32,,,3
46,OFC,OFICIO                                            , , ,OFÍCIO Nº [...],,D,,2,S,S,1,,B,32,,,3
47,ORC,LEI DE ORÇAMENTÁRIA ANUAL                         ,A,,"LEI ORÇAMENTÁRIA ANUAL,",,D,,2,S,S,1,,B,26,,,3
106,OTS,OUTROS                                            , ,, ,,,,2,S,S,0,,B,5,,,3
48,OUT,OUTROS                                            , ,,OUTROS,,P,S,2,,,1,,B,23,,S,3
49,PAG,PAGAMENTOS                                        , ,,PAGAMENTOS,,,,4,,,0,,B,2,,,3
51,PCC,PRESTAÇÃO DE CONTAS - CONVÊNIO                    , ,"3",PRESTAÇÃO DE CONTAS - CONVÊNIO ,,,,2,,,0,,B,2,,,3
52,PCF,PRESTAÇÃO CONTAS  SUP. FUNDOS                     , ,,PRESTAÇÃO DE CONTAS DE SUPRIMENTO DE FUNDOS,,,,2,,,0,,B,2,,,3
53,PCM,PRESTAÇÃO DE CONTAS MENSAL                        ,M,"1",PRESTAÇÃO DE CONTAS MENSAL ,,,,2,,,0,,B,2,,,3
54,PCO,PRESTAÇÃO DE CONTAS                               , ,,PRESTAÇÃO DE CONTAS,,,,2,,,0,,B,2,,,3
55,PCS,PREST. CONTAS. SEC. PMNATAL/93                    , ,"1","PREST. DE CONTAS MENSAIS DAS SECRETARIAS DA PREF. MUNICIPAL DE NATAL (  DIGITE AQUI O ÓRGAO , MES E ANO )",,,,2,,,0,,B,2,,,3
128,PDR,PROVIMENTO DERIVADO                               ,,,APRECIAÇÃO DO PROVIMENTO DERIVADO EM CARGO PÚBLICO DO(A) SENHOR(A) (...).,,P,,2,S,S,1,,B,4,N,,3
56,PEN,PENSÃO                                            , ,"3",APRECIAÇÃO DE CONCESSÃO DE PENSÃO,Ex-Segurado,P,,3,S,S,1,,B,4,,,3
130,PEP,PENSÃO PARLAMENTAR                                ,,,APRECIAÇÃO DA PENSÃO PARLAMENTAR CONCEDIDA AO(À) SENHOR(A) (...),,P,,3,S,S,1,,B,4,N,,3
102,PER,PEDIDO DE RECONSIDERAÇÃO                          , ,,PEDIDO DE RECONSIDERAÇÃO REFERENTE AO PROCESSO Nº [...],,,,2,N,N,0,,B,28,S,,3
57,PES,RELAÇAO DE PESSOAL                                , ,,RELAÇAO DE PESSOAL,,D,,2,,,1,,B,,,,3
139,PET,PETIÇÃO                                           ,,,PREENCHIMENTO CONFORME PEDIDO APRESENTADO NA PETIÇÃO (...).,,D,,2,S,S,1,,B,32,N,,3
88,PFA,PLANO DE FISCALIZAÇÃO ANUAL                       ,A,,PLANO DE FISCALIZAÇÃO ANUAL,PLANO DE FISCALIZAÇÃO ANUAL - AUDITORIA,P,S,,S,S,1,,B,24,,,3
58,PPA,PLANO PLURIANUAL                                  ,A,"1",PLANO PLURIANUAL REFERENTE AO QUADRIÊNIO,,D,,2,S,S,1,,B,26,,,3
59,PPC,PEDIDO DE PARCELAMENTO                            , ,,PEDIDO DE PARCELAMENTO DE MULTA REFERENTE AO PROCESSO Nº [...],,,,2,S,S,0,,B,30,S,,3
60,PPR,PEDIDO DE PRORROGAÇÃO DE PRAZO                    , ,,PEDIDO DE PRORROGAÇÃO DE PRAZO PARA [...],,,,2,S,S,0,,B,30,S,,3
91,PPT,PROCEDIMENTO PREPARATÓRIO                         ,,,PROCEDIMENTO PREPARATÓRIO REFERENTE A [...],,P,,,,,1,,B,23,,S,3
107,PRE,PEDIDO DE REEXAME                                 ,,,"PEDIDO DE REEXAME EM FACE DO PARECER Nº [...], PROFERIDO NOS AUTOS DO PROCESSO Nº ",,,,2,S,S,0,,B,30,S,,3
61,PSE,PRESTAÇÃO DE SERVIÇOS                             , ,,PRESTAÇÃO DE SERVIÇOS,,,,2,,,0,,B,,,,3
137,RAD,REQUERIMENTO ADMINISTRATIVO                       ,,"3",REQUERIMENTO DE/PARA (...).,,D,,2,S,S,1,,B,30,N,,3
62,RAF,RELATÓRIO ANUAL DE FUNDEF                         ,A,,RELATÓRIO ANUAL DO FUNDEF DO ANO DE ,,,,2,,,0,,B,,,,3
131,RBN,REVISÃO DE BENEFÍCIO                              ,,,APRECIAÇÃO DA REVISÃO DO BENEFÍCIO CONCEDIDO AO(À) SENHOR(A) (...).,,P,,3,S,S,1,,B,4,N,,3
63,REC,RECURSO - OUTROS                                  , ,,DOCUMENTO(S) REFERENTE(S) À INTIMAÇÃO Nº [...] DO PROCESSO Nº [...],,,,2,S,S,0,,B,30,S,,3
64,REL,CONTAS DO CHEFE DO EXECUTIVO                      ,A,,"CONTAS DO CHEFE DO PODER EXECUTIVO DO ESTADO DO RIO GRANDE DO NORTE,",,P,,2,S,S,1,,B,2,,S,3
65,REP,REPRESENTAÇÃO                                     , ,,REPRESENTAÇÃO PARA [...],,P,,2,S,S,1,,B,14,,S,2
66,REQ,REQUERIMENTO                                      , ,,REQUERIMENTO DE/PARA [...],,,,2,,,0,,B,,,,3
109,RER,RECURSO DE REVISTA                                ,,,RECURSO DE REVISTA NOS AUTOS DO PROCESSO Nº ,,,,2,S,S,0,,B,30,S,,3
67,RES,RELATÓRIO ESPECIAL                                , ,,RELATÓRIO ESPECIAL,,,,2,,,0,,B,,,,3
68,RET,RESTITUIÇÃO                                       , ,,VALOR A RESTITUIR,,,,2,,,0,,B,,,,3
69,REV,PEDIDO DE REVISÃO                                 , ,,PEDIDO DE REVISÃO EM FACE DA DECISÃO Nº [...]. PROFERIDA PELO TCE/RN,,P,,2,S,S,1,,B,22,,,3
70,RFU,RELATORIO ANUAL DE FUNDEF                         ,A,,RELATORIO ANUAL DE FUNDEF  ,,,,2,,,0,,B,,,,3
71,RLT,RELATORIO                                         , ,,RELATORIO,,,,2,,,0,,B,,,,3
125,RPC,RESPOSTA À COMUNICAÇÃO                            ,,,"RESPOSTA À COMUNICAÇÃO TIPO (...) Nº (...), CONSTANTES NOS AUTOS DO PROCESSO Nº (...).",,D,,2,S,S,1,,B,32,S,,3
72,RPG,RESTOS A PAGAR                                    ,A,,RESTOS A PAGAR ,,,,2,S,S,0,,B,2,,,3
73,RRE,RELATÓRIO DE REMUNERAÇÃO                          ,A,,RELATÓRIO DE REMUNERAÇÃO ,,,,2,,,0,,B,5,,,3
74,RSC,RESCISAO DE CONTRATO                              , ,,RESCISAO DE CONTRATO,,,,2,,,0,,B,,,,3
86,RTC,RELATÓRIO TÉCNICO CONCLUSIVO                      ,,,RELATÓRIO TÉCNICO CONCLUSIVO,,,,1,S,S,0,1,B,32,,,3
140,SAD,SOLICITAÇÃO DE APURAÇÃO DE DANO                   ,,,SOLICITAÇÃO DE APURAÇÃO DE DANO,,P,,2,S,S,1,,B,23,,,3
108,SFI,SOLICITAÇÃO DE FISCALIZAÇÃO                       ,,,DOCUMENTO(S) REFERENTES À SOLICITAÇÃO Nº [...],,,,2,S,S,0,,B,32,,,3
75,SIE,SIT.FUNC.DO PODER EXECUTIVO                       ,A,,SIT.FUNC.DO PODER EXECUTIVO ,,,,2,,,0,,B,,,,3
76,SIT,SITUAÇÃO FUNC.PODER LEGISL.                       ,A,"1",SITUAÇÃO FUNC.PODER LEGISL. ,,,,2,,,0,,B,,,,3
77,SOL,REQUERIMENTO                                      , ,"3",REQUERIMENTO DE/PARA [...],,,,2,S,S,0,,B,30,,,3
78,TAD,TERMO ADITIVO                                     , ,,TERMO ADITIVO,,,,1,,,0,,B,2,,,3
92,TAG,TERMO DE AJUSTAMENTO DE GESTÃO                    ,,,TERMO DE AJUSTAMENTO DE GESTÃO Nº [...],Termo de Ajustamento de Gestão,P,,,S,S,1,,,23,,,3
94,TOE,TOMADA DE CONTAS ESPECIAL                         , ,,"TOMADA DE CONTAS ESPECIAL, EM ATENDIMENTO À DECISÃO Nº (...) DO PLENO DO TRIBUNAL",,P,,1,S,S,1,,B,3,,S,3
79,TOM,TOMADA DE CONTAS                                  ,,,TOMADA DE CONTAS REFERENTE A [...],,P,,1,S,S,1,,B,3,,S,3
